upc,name,description,department,department_number,category,manufacturer,brand,is_active,cost,price,vendor,part_num,part_num_units,part_cost,child_upc,num_units
784762071002,Test,ZIG ZAG PURPLE THUNDER BLUNT WRAP,0.75,,BLUNT WRAPS>ZIG ZAG>CRTN>PACK,,,1,0.75,1.19,,,,,,
784762072009,,ZIG ZAG PURPLE THUNDER BLUNT WRAP CR,18.57,,BLUNT WRAPS>ZIG ZAG>CRTN>PACK,,,1,18.57,29.75,ABL WHOESALE DISTRIBUTOR,837385,,,78476207100,25
784762071033,,ZIG ZAG PEACH FRENZY BLUNT WRAP,0.75,,BLUNT WRAPS>ZIG ZAG>CRTN>PACK,,,1,0.75,1.19,,,,,,
784762072030,,ZIG ZAG PEACH FRENZY BLUNT WRAP CRTN,18.57,,BLUNT WRAPS>ZIG ZAG>CRTN>PACK,,,1,18.57,29.75,ABL WHOESALE DISTRIBUTOR,837384,,,78476207103,25
784762071057,,ZIG ZAG MELON BURST BLUNT WRAP,0.75,,BLUNT WRAPS>ZIG ZAG>CRTN>PACK,,,1,0.75,1.19,,,,,,
784762072054,,ZIG ZAG MELON BURST BLUNT WRAP CRTN,18.57,,BLUNT WRAPS>ZIG ZAG>CRTN>PACK,,,1,18.57,29.75,ABL WHOESALE DISTRIBUTOR,837381,,,78476207105,25
784762071040,,ZIG ZAG CHERRY RUSH BLUNT WRAP,0.75,,BLUNT WRAPS>ZIG ZAG>CRTN>PACK,,,1,0.75,1.19,,,,,,
784762072047,,ZIG ZAG CHERRY RUSH BLUNT WRAP CRTN,18.57,,BLUNT WRAPS>ZIG ZAG>CRTN>PACK,,,1,18.57,29.75,ABL WHOESALE DISTRIBUTOR,837383,,,78476207104,25
784762071019,,ZIG ZAG BLUE JUJU BLUNT WRAP,0.75,,BLUNT WRAPS>ZIG ZAG>CRTN>PACK,,,1,0.75,1.19,,,,,,
784762072016,,ZIG ZAG BLUE JUJU BLUNT WRAP CRTN,18.57,,BLUNT WRAPS>ZIG ZAG>CRTN>PACK,,,1,18.57,29.75,ABL WHOESALE DISTRIBUTOR,837382,,,78476207101,25
784762071026,,ZIG ZAG APPLE BLITZ BLUNT WRAP,0.75,,BLUNT WRAPS>ZIG ZAG>CRTN>PACK,,,1,0.75,1.19,,,,,,
784762072023,,ZIG ZAG APPLE BLITZ BLUNT WRAP CRTN,18.57,,BLUNT WRAPS>ZIG ZAG>CRTN>PACK,,,1,18.57,29.75,ABL WHOESALE DISTRIBUTOR,837387,,,78476207102,25
784762071088,,ZIG ZAG STRAIGHT UP BLUNT WRAP,0.72,,BLUNT WRAPS>ZIG ZAG>CRTN>PACK,,,1,0.72,1.19,,,,,,
784762072085,,ZIG ZAG STRAIGHT UP BLUNT WRAP CRTN,17.92,,BLUNT WRAPS>ZIG ZAG>CRTN>PACK,,,1,17.92,29.75,ABL WHOESALE DISTRIBUTOR,837741,,,78476207108,25
784762071071,,ZIG ZAG STRAWBERRY BASH BLUNT WRAP,0.75,,BLUNT WRAPS>ZIG ZAG>CRTN>PACK,,,1,0.75,1.19,,,,,,
784762072078,,ZIG ZAG STRAWBERRY BASH BLUNT WRAP C,18.57,,BLUNT WRAPS>ZIG ZAG>CRTN>PACK,,,1,18.57,29.75,ABL WHOESALE DISTRIBUTOR,837743,,,78476207107,25
784762071064,,ZIG ZAG MANGO A GOGO BLUNT WRAP EA,0.75,,BLUNT WRAPS>ZIG ZAG>CRTN>PACK,,,1,0.75,1.19,,,,,,
784762072061,,ZIG ZAG MANGO A GOGO BLUNT WRAP CRTN,18.57,,BLUNT WRAPS>ZIG ZAG>CRTN>PACK,,,1,18.57,29.75,ABL WHOESALE DISTRIBUTOR,837742,,,78476207106,25
784762071118,,ZIG ZAG VANILLA BLUNT WRAP PACK,0.72,,BLUNT WRAPS>ZIG ZAG>CRTN>PACK,,,1,0.72,1.19,,,,,,
784762072115,,ZIG ZAG VANILLA BLUNT WRAP CRTN,17.92,,BLUNT WRAPS>ZIG ZAG>CRTN>PACK,,,1,17.92,29.75,ABL WHOESALE DISTRIBUTOR,837936,,,78476207111,25
784762071101,,ZIG ZAG FRENCH ORANGE BLUNT WRAP PK,0.72,,BLUNT WRAPS>ZIG ZAG>CRTN>PACK,,,1,0.72,1.19,,,,,,
784762072108,,ZIG ZAG FRENCH ORANGE BLUNT WRAP CRT,17.92,,BLUNT WRAPS>ZIG ZAG>CRTN>PACK,,,1,17.92,29.75,ABL WHOESALE DISTRIBUTOR,837935,,,78476207110,25
